Marks,course,x1,x2,x3
1,1,70,7,0
1,1,150,3,0
0,1,50,6,0
0,1,45,7,1
0,1,60,4,1
1,1,100,4,1
0,1,50,4,1
1,1,60,6,0
1,1,20,6,0
0,1,120,5,0
1,1,150,4,0
0,1,60,4,1
0,1,50,4,1
0,1,60,4,1
1,1,60,3,1
1,1,120,6,0
1,1,90,4,0
0,1,60,4,1
0,1,120,4,0
0,1,55,5,1
1,1,60,5,1
0,1,20,3,0
1,0,60,2,1
0,0,360,6,0
1,0,120,8,1
1,0,240,7,0
0,0,300,8,1
0,0,60,5,1
0,0,90,8,1
1,0,120,5,1
0,0,60,6,1
0,0,360,7,1
1,0,400,4,0
1,0,315,4,0
0,0,60,2,1
0,0,40,1,1
0,0,60,6,1
0,0,60,5,0
1,0,40,5,1
1,0,60,9,1
0,0,30,1,1
0,0,360,7,1
